Word  |  Frequency  |  Frequency (%)
две  |  55  |  0.0227907%
кажетс  |  55  |  0.0227907%
рукой  |  55  |  0.0227907%
этому  |  55  |  0.0227907%
e  |  54  |  0.0223764%
Несвицкий  |  54  |  0.0223764%
вами  |  54  |  0.0223764%
говорю  |  54  |  0.0223764%
гостей  |  54  |  0.0223764%
жела  |  54  |  0.0223764%
знаешь  |  54  |  0.0223764%
знала  |  54  |  0.0223764%
кричал  |  54  |  0.0223764%
стало  |  54  |  0.0223764%
тихо  |  54  |  0.0223764%
du  |  53  |  0.021962%
Бонапарте  |  53  |  0.021962%
Еще  |  53  |  0.021962%
За  |  53  |  0.021962%
По  |  53  |  0.021962%
го  |  53  |  0.021962%
дать  |  53  |  0.021962%
душе  |  53  |  0.021962%
невольно  |  53  |  0.021962%
посмотрел  |  53  |  0.021962%
свете  |  53  |  0.021962%
сидела  |  53  |  0.021962%
ma  |  52  |  0.0215476%
Никола  |  52  |  0.0215476%
вышла  |  52  |  0.0215476%
гостиную  |  52  |  0.0215476%
дюшка  |  52  |  0.0215476%
старик  |  52  |  0.0215476%
сторон  |  52  |  0.0215476%
тельство  |  52  |  0.0215476%
точно  |  52  |  0.0215476%
ч  |  52  |  0.0215476%
Je  |  51  |  0.0211332%
Наполеон  |  51  |  0.0211332%
вечера  |  51  |  0.0211332%
дальше  |  51  |  0.0211332%
командир  |  51  |  0.0211332%
мила  |  51  |  0.0211332%
могли  |  51  |  0.0211332%
наконец  |  51  |  0.0211332%
отвечала  |  51  |  0.0211332%
правда  |  51  |  0.0211332%
радостно  |  51  |  0.0211332%
солдаты  |  51  |  0.0211332%
такие  |  51  |  0.0211332%
ch  |  50  |  0.0207189%
Петербурге  |  50  |  0.0207189%
вечер  |  50  |  0.0207189%
видела  |  50  |  0.0207189%
вопрос  |  50  |  0.0207189%
которому  |  50  |  0.0207189%
лошадей  |  50  |  0.0207189%
нею  |  50  |  0.0207189%
понимаю  |  50  |  0.0207189%
поспешно  |  50  |  0.0207189%
смотрела  |  50  |  0.0207189%
Мы  |  49  |  0.0203045%
встал  |  49  |  0.0203045%
засме  |  49  |  0.0203045%
лет  |  49  |  0.0203045%
ними  |  49  |  0.0203045%
платье  |  49  |  0.0203045%
полк  |  49  |  0.0203045%
рад  |  49  |  0.0203045%
сн  |  49  |  0.0203045%
хотелось  |  49  |  0.0203045%
Из  |  48  |  0.0198901%
брат  |  48  |  0.0198901%
ведь  |  48  |  0.0198901%
государю  |  48  |  0.0198901%
если  |  48  |  0.0198901%
женщины  |  48  |  0.0198901%
зна  |  48  |  0.0198901%
сел  |  48  |  0.0198901%
слышал  |  48  |  0.0198901%
смотрели  |  48  |  0.0198901%
qu  |  47  |  0.0194757%
мысли  |  47  |  0.0194757%
самого  |  47  |  0.0194757%
спросила  |  47  |  0.0194757%
сражени  |  47  |  0.0194757%
увидав  |  47  |  0.0194757%
plus  |  46  |  0.0190614%
Иль  |  46  |  0.0190614%
Лицо  |  46  |  0.0190614%
бывает  |  46  |  0.0190614%
вокруг  |  46  |  0.0190614%
дочери  |  46  |  0.0190614%
завтра  |  46  |  0.0190614%
заметил  |  46  |  0.0190614%
зачем  |  46  |  0.0190614%
любовь  |  46  |  0.0190614%
мной  |  46  |  0.0190614%
наш  |  46  |  0.0190614%
сердито  |  46  |  0.0190614%
скоро  |  46  |  0.0190614%
тел  |  46  |  0.0190614%
шепотом  |  46  |  0.0190614%
cher  |  45  |  0.018647%
Потом  |  45  |  0.018647%
То  |  45  |  0.018647%
графини  |  45  |  0.018647%
де  |  45  |  0.018647%
деле  |  45  |  0.018647%
другое  |  45  |  0.018647%
думать  |  45  |  0.018647%
звуки  |  45  |  0.018647%
имел  |  45  |  0.018647%
мост  |  45  |  0.018647%
ожида  |  45  |  0.018647%
повтор  |  45  |  0.018647%
положение  |  45  |  0.018647%
спокойно  |  45  |  0.018647%
старого  |  45  |  0.018647%
сюда  |  45  |  0.018647%
чуть  |  45  |  0.018647%
Москву  |  44  |  0.0182326%
глазах  |  44  |  0.0182326%
дел  |  44  |  0.0182326%
должны  |  44  |  0.0182326%
молодого  |  44  |  0.0182326%
обеда  |  44  |  0.0182326%
письма  |  44  |  0.0182326%
пока  |  44  |  0.0182326%
слезы  |  44  |  0.0182326%
собою  |  44  |  0.0182326%
узнал  |  44  |  0.0182326%
хоз  |  44  |  0.0182326%
шел  |  44  |  0.0182326%
comme  |  43  |  0.0178182%
Боже  |  43  |  0.0178182%
Графин  |  43  |  0.0178182%
брата  |  43  |  0.0178182%
верно  |  43  |  0.0178182%
жены  |  43  |  0.0178182%
иногда  |  43  |  0.0178182%
какое  |  43  |  0.0178182%
любил  |  43  |  0.0178182%
места  |  43  |  0.0178182%
месте  |  43  |  0.0178182%
насто  |  43  |  0.0178182%
никого  |  43  |  0.0178182%
повторил  |  43  |  0.0178182%
послышалс  |  43  |  0.0178182%
середине  |  43  |  0.0178182%
сидели  |  43  |  0.0178182%
скажу  |  43  |  0.0178182%
спрашивал  |  43  |  0.0178182%
стола  |  43  |  0.0178182%
штаб  |  43  |  0.0178182%
dans  |  42  |  0.0174038%
Марье  |  42  |  0.0174038%
Через  |  42  |  0.0174038%
деньги  |  42  |  0.0174038%
желал  |  42  |  0.0174038%
оруди  |  42  |  0.0174038%
своею  |  42  |  0.0174038%
сторону  |  42  |  0.0174038%
хочет  |  42  |  0.0174038%
Анны  |  41  |  0.0169895%
Тушин  |  41  |  0.0169895%
ближе  |  41  |  0.0169895%
видал  |  41  |  0.0169895%
